time(ms);RPM(1/min);IAT2(°C);SHRTFT1(%);SHRTFT2(%);LOAD(%);ECT(°C)
3742;615;41;-4.69;-4.69;25.10;83
3751;614;41;-4.69;-4.69;25.10;83
3762;614;41;-4.69;-4.69;25.10;83
3771;614;41;-4.69;-4.69;25.10;83
3785;614;41;-4.69;-4.69;25.10;83
3803;614;41;-4.69;-4.69;25.10;83
3813;615;41;-4.69;-4.69;25.10;83
3819;615;41;-4.69;-4.69;25.10;83
3833;615;41;-4.69;-4.69;25.10;83
3841;616;41;-4.69;-4.69;25.10;83
3852;616;41;-4.69;-4.69;25.10;83
3863;616;41;-4.69;-4.69;25.10;83
3871;615;41;-4.69;-4.69;25.10;83
3883;614;41;-4.69;-4.69;25.10;83
3893;614;41;-4.69;-4.69;25.10;83
3901;613;41;-4.69;-4.69;25.10;83
3912;613;41;-4.69;-4.69;25.10;83
3921;613;41;-4.69;-4.69;25.10;83
3933;613;41;-4.69;-4.69;25.10;83
3943;613;41;-4.69;-4.69;25.10;83
3955;613;41;-4.69;-4.69;25.10;83
3972;613;41;-4.69;-4.69;25.10;83
3983;613;41;-4.69;-4.69;25.10;83
3993;613;41;-4.69;-4.69;25.10;83
4001;613;41;-4.69;-4.69;25.10;83
4012;614;41;-4.69;-4.69;25.10;83
4021;614;41;-4.69;-4.69;25.10;83
4029;615;41;-4.69;-4.69;25.10;83
4043;615;41;-4.69;-4.69;25.10;83
4051;615;41;-4.69;-4.69;25.10;83
4062;615;41;-4.69;-4.69;25.10;83
4071;615;41;-4.69;-4.69;25.10;83
4084;615;41;-4.69;-4.69;25.10;83
4091;615;41;-4.69;-4.69;25.10;83
4100;615;41;-4.69;-4.69;25.10;83
4109;615;41;-4.69;-4.69;25.10;83
4123;615;41;-4.69;-4.69;25.10;83
4133;615;41;-4.69;-4.69;25.10;83
4143;614;41;-4.69;-4.69;25.10;83
4151;614;41;-4.69;-4.69;25.10;83
4161;614;41;-4.69;-3.91;25.10;83
4173;615;41;-4.69;-3.91;25.10;83
4186;615;41;-4.69;-3.91;25.10;83
4203;616;41;-4.69;-3.91;25.10;83
4214;616;41;-4.69;-3.91;25.10;83
4223;617;41;-4.69;-3.91;25.10;83
4234;617;41;-4.69;-3.91;25.10;83
4241;618;41;-4.69;-3.91;25.10;83
4253;618;41;-4.69;-3.91;25.10;83
4261;618;41;-4.69;-3.91;25.10;83
4272;619;41;-4.69;-3.91;25.10;83
4283;619;41;-4.69;-3.91;25.10;83
4291;619;41;-4.69;-3.91;25.10;83
4303;619;41;-4.69;-3.91;25.10;83
4311;619;41;-4.69;-3.91;25.10;83
4321;618;41;-4.69;-3.91;25.10;83
4333;618;41;-4.69;-3.91;25.10;83
4340;618;41;-4.69;-3.91;25.10;83
4350;617;41;-4.69;-3.91;25.10;83
4360;617;41;-4.69;-3.91;25.10;83
4369;616;41;-4.69;-3.91;25.10;83
4385;616;41;-4.69;-3.91;25.10;83
4401;616;41;-4.69;-3.91;25.10;83
4413;615;41;-4.69;-3.91;25.10;83
4422;615;41;-4.69;-3.91;25.10;83
4433;614;41;-4.69;-3.91;25.10;83
4441;614;41;-4.69;-3.91;25.10;83
4450;613;41;-4.69;-3.91;25.10;83
4463;613;41;-4.69;-3.91;25.10;83
4472;612;41;-4.69;-3.91;25.10;83
4483;611;41;-4.69;-3.91;25.10;83
4493;611;41;-4.69;-3.91;25.10;83
4502;611;41;-4.69;-3.91;25.10;83
4514;611;41;-4.69;-3.91;25.10;83
4520;611;41;-4.69;-3.91;25.10;83
4532;611;41;-3.91;-3.91;25.10;83
4540;611;41;-3.91;-3.91;25.10;83
4552;612;41;-3.91;-3.91;25.10;83
4564;613;41;-3.91;-3.91;25.10;83
4570;613;41;-3.91;-3.91;25.10;83
4586;614;41;-3.91;-3.91;25.10;83
4601;615;41;-3.91;-3.91;25.10;83
4615;616;41;-3.91;-3.91;25.10;83
4633;616;41;-3.91;-3.91;25.10;83
4643;616;41;-3.91;-3.91;25.10;83
4650;617;41;-3.91;-3.91;25.10;83
4661;617;41;-3.91;-3.91;25.10;83
4670;618;41;-3.91;-3.91;25.10;83
4684;618;41;-3.91;-3.91;25.10;83
4695;617;41;-3.91;-3.91;25.10;83
4710;617;41;-3.91;-3.91;25.10;83
4723;616;41;-3.91;-3.91;25.10;83
4732;615;41;-3.91;-3.91;25.10;83
4740;615;41;-3.91;-3.91;25.10;83
4751;614;41;-3.91;-3.91;25.10;83
4762;614;41;-3.91;-3.91;25.10;83
4772;614;41;-3.91;-3.91;25.10;83
4782;614;41;-3.91;-3.91;25.10;83
4791;614;41;-3.91;-3.91;25.10;83
4800;614;41;-3.91;-3.91;25.10;83
4812;614;41;-3.91;-3.91;25.10;83
4820;614;41;-3.91;-3.91;25.10;83
4833;614;41;-3.91;-3.91;25.10;83
4841;614;41;-3.91;-3.91;25.10;83
4852;614;41;-3.91;-3.91;25.10;83
4861;614;41;-3.91;-3.91;25.10;83
4872;614;41;-3.91;-3.91;25.10;83
4882;615;41;-3.91;-3.91;25.10;83
4891;616;41;-3.91;-3.91;25.10;83
4902;617;41;-3.91;-3.91;25.10;83
